Term	Type	POS (most common)	WN2.0 Name	WordNet SenseKey	WN2.0 Synset	WordNet gloss	WordNet example usage
death	act	n	death_n1	death%1:11:00::	106904072	the event of dying or departure from life; 	her death came as a terrible shock; upon your decease the capital will pass to your grandchildren
december	?						
decide	act	v	decide_v1	decide%2:31:00::	200674417	reach, make, or come to a decision about something; 	We finally decided after lengthy deliberations
decision	nom	n	decision_n1	decision%1:09:00::	105500743	a position or opinion or judgment reached after consideration; 	a decision unfavorable to the opposition; his conclusion took the evidence into account; satisfied with the panel's determination
decomposer	obj						
decomposition	der	n	decomposition_n1	decomposition%1:09:00::	105658145	the analysis of a vector field	
decrease	act	v	decrease_v1	decrease%2:30:00::	200146081	decrease in size, extent, or range; 	The amount of homework decreased towards the end of the semester; The cabin pressure fell dramatically; her weight fall to under a hundred pounds; his voice fell to a whisper
decreased	der	adj	reduced_a1	decreased%3:00:00::	300844579	made less in size or amount or degree	
decreases	der						
deductive	quality	adj	deductive_a1	deductive%3:01:00::	302601261	relating to logical deduction; 	deductive reasoning
deep	quality	adj	deep_a1	deep%3:00:02::	300663587	relatively deep or strong; affecting one deeply; 	a deep breath; a deep sigh; deep concentration; deep emotion; a deep trance; in a deep sleep
deer	animal	n	deer_n1	deer%1:05:00::	102342528	distinguished from Bovidae by the male's having solid deciduous antlers	
defense	der	n	defense_n1	defense%1:14:01::	107590851	(sports) the team that is trying to prevent the other team from scoring; 	his teams are always good on defense
define	act	v	define_v1	define%2:32:00::	200925620	give a definition for the meaning of a word; 	Define `sadness'
definite	quality	adj	definite_a1	definite%3:00:00::	300671512	precise; explicit and clearly defined; 	I want a definite answer; a definite statement of the terms of the will; a definite amount; definite restrictions on the sale of alcohol; the wedding date is now definite; a definite drop in attendance
definition	nom	n	definition_n1	definition%1:10:00::	106329978	a concise explanation of the meaning of a word or phrase or symbol	
degree	uofm	n	level_n1	degree%1:07:00::	104815732	a position on a scale of intensity or amount or quality; 	a moderate degree of intelligence; a high level of care is required; it is all a matter of degree
degress	?						
delicate	quality	adj	delicate_a1	delicate%3:00:00::	300676276	exquisitely fine and subtle and pleasing; susceptible to injury; 	a delicate violin passage; delicate china; a delicate flavor; the delicate wing of a butterfly
demand	act	n	demand_n1	demand%1:22:00::	112700049	the ability and desire to purchase goods and services; 	the automobile reduced the demand for buggywhips; the demand exceeded the supply
demonstrate	act	v	show_v1	demonstrate%2:39:01::	202086859	show or demonstrate something to an interested audience; 	She shows her dogs frequently; We will demo the new software in Washington
denote	act	v	denote_v1	denote%2:32:01::	200901485	be a sign or indication of; 	Her smile denoted that she agreed
deoxyribonucleic	quality						
depend	act	v	depend_v1	depend%2:42:00::	202584216	be contingent upon (something that is ellided); 	That depends
dependent	der	adj	dependent_a1	dependent%3:00:00::	300694973	not independent; 	dependent children
depending	der						
deposit	act	v	stick_v1	deposit%2:35:00::	201485763	fix, force, or implant; 	lodge a bullet in the table
deposition	der	n	deposit_n3	deposition%1:22:00::	112701078	the natural process of laying down a deposit of something	
depth	att	n	depth_n1	depth%1:07:00::	104847820	extent downward or backward or inward; 	the depth of the water; depth of a shelf; depth of a closet
describe	act	v	describe_v1	describe%2:32:00::	200954845	give a description of; 	He drew an elaborate plan of attack
described	state	adj	described_s1	described%5:00:00:delineated:00	301662101	represented in words especially with sharpness and detail; 	the vividly described wars
describes	der						
describing	der						
description	nom	n	description_n1	description%1:10:01::	106310879	a statement that represents something in words	
desert	loc	v	desert_v1	desert%2:31:00::	200594081	leave someone who needs or counts on you; leave in the lurch; 	The mother deserted her children
design	abs	v	design_v1	design%2:36:02::	201592028	make or work out a plan for; devise; 	They contrived to murder their boss; design a new sales strategy; plan an attack
design	act	v	design_v1	design%2:36:02::	201592028	make or work out a plan for; devise; 	They contrived to murder their boss; design a new sales strategy; plan an attack
designed	state	adj	designed_s1	designed%5:00:00:planned:00	301737025	planned or created in an artistic or skilled manner; 	a beautifully designed dress; some Italian designed sandals have cushioning
desk	obj	n	desk_n1	desk%1:06:00::	103064679	a piece of furniture with a writing surface and usually drawers or other compartments	
destroy	act	v	destroy_v1	destroy%2:36:00::	201574188	do away with, cause the destruction or undoing of; 	The fire destroyed the house
detail	abs	n	detail_n1	detail%1:09:00::	105480820	an isolated fact that is considered separately from the whole; 	several of the details are similar; a point of information
detail	act	n	detail_n1	detail%1:09:00::	105480820	an isolated fact that is considered separately from the whole; 	several of the details are similar; a point of information
detailed	state	adj	detailed_s1	detailed%5:00:00:careful:00	300308966	developed or executed with care and in minute detail; 	a detailed plan; the elaborate register of the inhabitants prevented tax evasion- John Buchan; the carefully elaborated theme
detect	act	v	find_v2	detect%2:39:00::	202092480	discover or determine the existence, presence, or fact of; 	She detected high levels of lead in her drinking water; We found traces of lead in the paint
detected	der	adj	detected_a1	detected%3:00:00::	301559033	perceived or discerned; 	the detected micrometeoritic material
detected	state	adj	detected_a1	detected%3:00:00::	301559033	perceived or discerned; 	the detected micrometeoritic material
deter	act	v	discourage_v1	deter%2:32:01::	200878299	try to prevent; show opposition to; 	We should discourage this practice among our youth
determine	act	v	determine_v1	determine%2:32:00::	200888752	after a calculation, investigation, experiment, survey, or study; 	find the product of two numbers; The physicist who found the elusive particle won the Nobel Prize
determining	der						
develop	act	v	develop_v1	develop%2:36:01::	201689605	make something new, such as a product or a mental or artistic creation; 	Her company developed a new kind of building material that withstands all kinds of weather; They developed a new technique
developing	der	adj	developing_s1	developing%5:00:00:nonindustrial:00	301254746	relating to societies in which capital needed to industrialize is in short supply	
development	der	n	development_n1	development%1:04:01::	100238088	act of improving by expanding or enlarging or refining; 	he congratulated them on their development of a plan to meet the emergency; they funded research and development
developmentally	der	r	developmentally_r1	developmentally%4:02:00::	400305137	with respect to development; 	developmentally retarded
diagram	abs	n	diagram_n1	diagram%1:06:00::	103071208	a drawing intended to explain how something works; a drawing showing the relation between the parts	
diaphragm	bpart	n	diaphragm_n1	diaphragm%1:06:00::	103073759	a mechanical device in a camera that controls size of aperture of the lens; 	the new cameras adjust the diaphragm automatically
die	act	v	die_v1	die%2:30:00::	200347202	pass from physical life and lose all all bodily attributes and functions necessary to sustain life; 	She died from cancer; They children perished in the fire; The patient went peacefully
diet	behavior	n	diet_n1	diet%1:13:00::	107094294	a prescribed selection of foods	
difference	abs	n	difference_n1	difference%1:07:00::	104540432	the quality of being unlike or dissimilar; 	there are many differences between jazz and rock
different	quality	adj	different_a1	different%3:00:00::	301995593	unlike in nature or quality or form or degree; 	took different approaches to the problem; came to a different conclusion; different parts of the country; on different sides of the issue; this meeting was different from the earlier one
differently	adv	r	differently_r1	differently%4:02:00::	400114973	in another and different manner; 	very soon you will know differently; she thought otherwise
difficult	?	adj	difficult_a1	difficult%3:00:00::	300714324	not easy; requiring great physical or mental effort to accomplish or comprehend or endure; 	a difficult task; nesting places on the cliffs are difficult of access; difficult times; a difficult child; found himself in a difficult situation; why is it so hard for you to keep a secret?
difficulty	?	n	difficulty_n1	difficulty%1:04:00::	100589305	an effort that is inconvenient; 	I went to a lot of trouble; he won without any trouble; had difficulty walking; finished the test only with great difficulty
digested	state	adj	digested_s1	digested%5:00:00:digestible:00	301140373	capable of undergoing digestion; 	a supply of easily digested foods
digestion	nom	n	digestion_n1	digestion%1:22:01::	112704580	the process of decomposing organic matter (as in sewage) by bacteria or by chemical action or heat	
digestive	quality	adj	digestive_a1	digestive%3:01:00::	302900631	relating to or having the power to cause or promote digestion; 	digestive juices; a digestive enzyme; digestive ferment
dimension	att	n	dimension_n1	dimension%1:07:00::	104815423	the magnitude of something in a particular direction (especially length or width or height)	
diner	loc	n	diner_n1	diner%1:18:00::	109372864	a person eating a meal (especially in a restaurant)	
dinner	?	n	dinner_n1	dinner%1:13:00::	107108130	the main meal of the day served in the evening or at midday; 	dinner will be at 8; on Sundays they had a large dinner when they returned from church
dinosaur	animal	n	dinosaur_n1	dinosaur%1:05:00::	101620858	any of numerous extinct terrestrial reptiles of the Mesozoic era	
dioxide	?	n	dioxide_n1	dioxide%1:27:00::	113991141	an oxide containing two atoms of oxygen in the molecule	
direct	quality	adj	direct_a1	direct%3:00:00::	300728730	direct in spatial dimensions; proceeding without deviation or interruption; straight and short; 	a direct route; a direct flight; a direct hit
direction	abs	n	way_n7	direction%1:15:00::	108149291	a line leading to a place or point; 	he looked the other direction; didn't know the way home
directly	?	r	directly_r1	directly%4:02:00::	400053281	without deviation; 	the path leads directly to the lake; went direct to the office
dirt	obj	n	dirt_n1	dirt%1:27:01::	113999657	the part of the earth's surface consisting of humus and disintegrated rock	
disappear	act	v	disappear_v1	disappear%2:30:00::	200414775	get lost, especially without warning or explanation; 	He disappeared without a trace
disappeared	der						
disaster	abs	n	disaster_n1	disaster%1:26:00::	113653674	a state of extreme (usually irremediable) ruin and misfortune; 	lack of funds has resulted in a catastrophe for our school system; his policies were a disaster
discover	act	v	find_v2	discover%2:39:03::	202092480	discover or determine the existence, presence, or fact of; 	She detected high levels of lead in her drinking water; We found traces of lead in the paint
discovery	der	n	discovery_n1	discovery%1:04:00::	100038353	the act of discovering something	
discuss	act	v	discuss_v1	discuss%2:32:01::	201001038	to consider or examine in speech or writing; 	The article covered all the different aspects of this question; The class discussed Dante's `Inferno'
discussed	der						
discussing	der						
discussion	nom	n	discussion_n1	discussion%1:10:02::	106697804	an extended communication (often interactive) dealing with some particular topic; 	the book contains an excellent discussion of modal logic; his treatment of the race question is badly biased
disease	ill	n	disease_n1	disease%1:26:00::	113268088	an impairment of health or a condition of abnormal functioning	
dislike	act	v	dislike_v1	dislike%2:37:00::	201725265	have or feel a dislike or distaste for; 	I really dislike this salesman
dispersal	der	n	dispersal_n1	dispersal%1:04:00::	100352055	the act of dispersing or diffusing something; 	the dispersion of the troops; the diffusion of knowledge
disperse	act	v	sprinkle_v1	disperse%2:35:00::	201336176	distribute loosely; 	He scattered gun powder under the wagon
displace	act	v	displace_v1	displace%2:38:01::	201956043	take the place of	
display	act	v	display_v1	display%2:39:00::	202078062	to show, make visible or apparent; 	The Metropolitan Museum is exhibiting Goya's works this month; Why don't you show your nice legs and wear shorter skirts?; National leaders will have to display the highest skills of statesmanship
displaying	der						
distance	att	n	distance_n1	distance%1:07:00::	104807180	the property created by the space between two objects or points	
distinct	quality	adj	distinct_s2	distinct%5:00:00:different:00	301997659	(often followed by `from') not alike; different in nature or quality; 	plants of several distinct types; the word `nationalism' is used in at least two distinct senses; gold is distinct from iron; a tree related to but quite distinct from the European beech; management had interests quite distinct from those of their employees
distinguish	act	v	distinguish_v1	distinguish%2:31:00::	200628816	mark as different; 	We distinguish several kinds of maple
distribute	act	v	distribute_v1	distribute%2:40:00::	202228378	administer or bestow, as in small portions; 	administer critical remarks to everyone present; dole out some money; shell out pocket money for the children; deal a blow to someone
distributing	der						
diversity	abs	n	variety_n2	diversity%1:07:02::	104542541	noticeable heterogeneity; 	a diversity of possibilities; the range and variety of his work is amazing
divide	act	v	divide_v1	divide%2:41:00::	202393614	separate into parts or portions; 	divide the cake into three equal parts; The British carved up the Ottoman Empire after World War I
dividing	der	adj	dividing_s1	dividing%5:00:00:disjunctive:00	300537443	serving to divide or marking a division; 	the divisional line between two states
division	nom	n	division_n1	division%1:14:00::	107715643	an army unit large enough to sustain combat; 	two infantry divisions were held in reserve
dna	bpart						
document	obj	v	document_v1	document%2:32:00::	200969639	record in detail; 	The parents documented every step of their child's development
does	der						
dog	animal	n	dog_n1	dog%1:05:00::	102001223	a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds; 	the dog barked all night
dolphin	animal	n	dolphin_n1	dolphin%1:05:01::	102490687	large slender food and game fish widely distributed in warm seas (especially around Hawaii)	
done	der	adj	done_s1	done%5:00:00:finished:01	300959729	having finished or arrived at completion; 	certain to make history before he's done; it's a done deed; after the treatment, the patient is through except for follow-up; almost through with his studies
door	obj	n	door_n1	door%1:06:00::	103104617	a swinging or sliding barrier that will close the entrance to a room or building or vehicle; 	he knocked on the door; he slammed the door as he left
doorbell	obj	n	bell_n2	doorbell%1:06:00::	103105413	a push button at an outer door that gives a ringing or buzzing signal when pushed	
dormant	quality	adj	torpid_s2	dormant%5:00:00:asleep:00	300191661	in a condition of biological rest or suspended animation; 	dormant buds; a hibernating bear; torpid frogs
down	dirn	r	down_r1	down%4:02:00::	400096598	spatially or metaphorically from a higher to a lower level or position; 	don't fall down; rode the lift up and skied down; prices plunged downward
downhill	dirn	r	downhill_r1	downhill%4:02:01::	400325916	toward a lower or inferior state; 	your performance has been going downhill for a long time now
downward	dirn	r	down_r1	downward%4:02:00::	400096598	spatially or metaphorically from a higher to a lower level or position; 	don't fall down; rode the lift up and skied down; prices plunged downward
draw	act	v	pull_v1	draw%2:35:03::	201406785	cause to move along the ground by pulling; 	draw a wagon; pull a sled
drawing	obj	n	drawing_n1	drawing%1:10:00::	106575404	an illustration that is drawn by hand and published in a book or magazine; 	it is shown by the drawing in Fig. 7
drink	obj	v	drink_v1	drink%2:34:00::	201134068	take in liquids; 	The patient must drink several liters each day; The children like to drink soda
drinking	act	n	drinking_n1	drinking%1:04:00::	100792430	the act of consuming liquids	
drive	act	v	drive_v1	drive%2:38:01::	201875026	operate or control a vehicle; 	drive a car or bus; Can you drive this four-wheel truck?
driving	act	adj	driving_s1	driving%5:00:00:dynamic:00	300774869	having the power of driving or impelling; 	a driving personal ambition; the driving force was his innate enthusiasm; an impulsive force
drop	act	v	drop_v1	drop%2:38:01::	201919767	let fall to the ground; 	Don't drop the dishes
droplet	obj	n	droplet_n1	droplet%1:23:00::	112995142	a tiny drop	
dropped	der	adj	dropped_s1	dropped%5:00:00:born:00	301679673	(used of a mammal) born	
drops	der						
drought	abs	n	drought_n1	drought%1:26:00::	113707766	a temporary shortage of rainfall	
drought	weath	n	drought_n1	drought%1:26:00::	113707766	a temporary shortage of rainfall	
drug	obj	n	drug_n1	drug%1:06:00::	103129572	a substance that is used as a medicine or narcotic	
drum	obj	n	drum_n1	drum%1:06:00::	103131431	a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretch across each end	
dry	act	adj	dry_a1	dry%3:00:01::	302461809	free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet; 	dry land; dry clothes; a dry climate; dry splintery boards; a dry river bed; the paint is dry
dryer	obj	n	drier_n2	dryer%1:06:00::	103133613	an appliance that removes moisture	
drying	der						
duck	bird	v	duck_v1	duck%2:38:00::	201811284	to move (the head or body) quickly downwards or away; 	Before he could duck, another stone struck him
duck's	der						
ducting	?						
due	?	adj	due_a1	due%3:00:00::	300141672	owed and payable immediately or on demand; 	payment is due
during	?						
dust	obj	n	dust_n1	dust%1:27:00::	113994846	fine powdery material such as dry earth or pollen that can be blown about in the air; 	the furniture was covered with dust
dynamic	quality	adj	dynamic_a1	dynamic%3:00:00::	300774138	characterized by action or forcefulness or force of personality; 	a dynamic market; a dynamic speaker; the dynamic president of the firm
each	?	r	each_r1	each%4:02:00::	400242560	to or from every one of two or more (considered individually); 	they received $10 each
ear	bpart	n	ear_n1	ear%1:08:00::	105014060	the sense organ for hearing and equilibrium	
earth	obj	n	earth_n2	earth%1:27:00::	113997974	the loose soft material that makes up a large part of the land surface; 	they dug into the earth outside the church
earthquake	act	n	earthquake_n1	earthquake%1:11:00::	106974324	shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity	
easier	comp						
easily	adv	r	easily_r1	easily%4:02:01::	400150067	with ease (`easy' is sometimes used informally for `easily'); 	she was easily excited; was easily confused; he won easily; this china breaks very easily; success came too easy
east	dirn	adj	east_a1	east%3:00:00::	300788571	situated in or facing or moving toward the east	
easy	quality	adj	easy_a1	easy%3:00:01::	300718531	posing no difficulty; requiring little effort; 	an easy job; an easy problem; an easy victory; the house is easy to heat; satisfied with easy answers; took the easy way out of his dilemma
eat	act	v	eat_v1	eat%2:34:00::	201132466	take in solid food; 	She was eating a banana; What did you eat for dinner last night?
eating	der	n	feeding_n1	eating%1:04:00::	100787723	the act of consuming food	
eats	der	n	grub_n1	eats%1:13:00::	107098075	informal terms for a meal	
echo	sound	v	repeat_v4	echo%2:32:00::	200925921	to say again or imitate; 	followers echoing the cries of their leaders
eclipse	abs	n	eclipse_n1	eclipse%1:11:00::	106916825	one celestial body obscures another	
ecology	abs	n	ecology_n1	ecology%1:26:00::	113686618	the environment as it relates to living organisms; 	it changed the ecology of the island
ecosystem	obj	n	ecosystem_n1	ecosystem%1:14:00::	107859000	a system formed by the interaction of a community of organisms with their physical environment	
educate	act	v	educate_v1	educate%2:41:00::	202315989	give an education to; 	We must educate our youngsters better
education	nom	n	education_n1	education%1:04:00::	100831015	the activities of educating or instructing or teaching; activities that impart knowledge or skill; 	he received no formal education; our instruction was carefully programmed; good teaching is seldom rewarded
educator	human	n	educator_n1	educator%1:18:00::	109403092	someone who educates young people	
effect	abs	n	effect_n1	effect%1:19:00::	110672738	a phenomenon that follows and is caused by some previous phenomenon; 	the magnetic effect was greater when the rod was lengthwise; his decision had depressing consequences for business; he acted very wise after the event
effective	quality	adj	effective_a1	effective%3:00:00::	300799871	producing or capable of producing an intended result or having a striking effect; 	an air-cooled motor was more effective than a witch's broomstick for rapid long-distance transportation-LewisMumford; effective teaching methods; effective steps toward peace; made an effective entrance; his complaint proved to be effectual in bringing action; an efficacious law
effectively	adv	r	effectively_r1	effectively%4:02:01::	400329832	in an effective manner; 	these are real problems that can be dealt with most effectively by rational discussion
effectiveness	abs	n	effectiveness_n1	effectiveness%1:07:00::	104904035	power to be effective; the quality of being able to bring about an effect	
efficient	quality	adj	efficient_a1	efficient%3:00:00::	300805276	being effective without wasting time or effort or expense; 	an efficient production manager; efficient engines save gas
effort	abs	n	effort_n1	effort%1:04:00::	100736544	earnest and conscientious activity intended to do or accomplish something; 	made an effort to cover all the reading material; wished him luck in his endeavor; she gave it a good try
egestion	nom						
egg	obj	n	egg_n1	egg%1:05:00::	101383930	animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds	
elderly	quality	adj	older_s1	elderly%5:00:00:old:02	301592994	advanced in years; (`aged' is pronounced as two syllables); 	aged members of the society; elderly residents could remember the construction of the first skyscraper; senior citizen
electric	quality	adj	electric_a1	electric%3:01:00::	302698505	using or providing or producing or transmitting or operated by electricity; 	electric current; electric wiring; electrical appliances; an electrical storm
electrical	quality	adj	electrical_a1	electrical%3:01:00::	302698329	relating to or concerned with electricity; 	an electrical engineer; electrical and mechanical engineering industries
electricity	subst	n	electricity_n1	electricity%1:19:00::	110710851	a physical phenomenon associated with stationary or moving electrons and protons	
electron	obj	n	electron_n1	electron%1:17:00::	108693651	an elementary particle with negative charge	
electronic	quality	adj	electronic_a1	electronic%3:01:00::	302608224	of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons; 	electronic devices
elementary	quality	adj	simple_s2	elementary%5:00:00:easy:01	300719359	easy and not involved or complicated; 	an elementary problem in statistics; elementary, my dear Watson; a simple game; found an uncomplicated solution to the problem
elephant	animal	n	elephant_n1	elephant%1:05:00::	102414572	five-toed pachyderm	
eliminate	act	v	eliminate_v1	eliminate%2:30:01::	200458531	terminate or take out; 	Let's eliminate the course on Akkadian hieroglyphics
eliminating	der						
else	?	r	else_r1	else%4:02:01::	400046257	additional to or different from this one or place or time or manner; 	nobody else is here; she ignored everything else; I don't know where else to look; when else can we have the party?; couldn't decide how else it could be done
emphasis	abs	n	emphasis_n1	emphasis%1:26:00::	113616942	special importance or significance; 	the red light gave the central figure increased emphasis; the room was decorated in shades of gray with distinctive red accents
emphasize	act	v	stress_v1	emphasize%2:32:00::	200980547	to stress, single out as important; 	Dr. Jones emphasizes exercise in addition to a change in diet
empty	val	adj	empty_a1	empty%3:00:00::	301040884	holding or containing nothing; 	an empty glass; an empty room; full of empty seats; empty hours
enable	act	v	enable_v1	enable%2:30:00::	200499201	render capable or able for some task; 	This skill will enable you to find a job on Wall Street; The rope enables you to secure yourself when you climb the mountain
encounter	act	v	meet_v1	encounter%2:38:00::	201965169	come together; 	I'll probably see you at the meeting; How nice to see you again!
encourage	act	v	encourage_v1	encourage%2:41:00::	202479351	contribute to the progress or growth of; 	I am promoting the use of computers in the classroom
encouraged	der	adj	encouraged_s1	encouraged%5:00:00:pleased:00	301745029	inspired with confidence; 	felt bucked up by his success
end	act	v	end_v1	end%2:42:00::	202531897	have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical; 	the bronchioles terminate in a capillary bed; Your rights stop where you infringe upon the rights of other; My property ends by the bushes; The symphony ends in a pianissimo
enemy	human	n	enemy_n1	enemy%1:14:00::	107693564	an opposing military force; 	the enemy attacked at dawn
enemy	obj	n	enemy_n1	enemy%1:14:00::	107693564	an opposing military force; 	the enemy attacked at dawn
energy	subst	n	energy_n1	energy%1:19:00::	110712950	(physics) the capacity of a physical system to do work; the units of energy are joules or ergs; 	energy can take a wide variety of forms
engaged	der	adj	engaged_s1	engaged%5:00:02:busy:00	300293455	having ones attention or mind or energy engaged; 	she keeps herself fully occupied with volunteer activities; deeply engaged in conversation
engaging	der	adj	piquant_s3	engaging%5:00:00:attractive:01	300172795	attracting or delighting; 	an engaging frankness; a piquant face with large appealing eyes
engine	obj	n	engine_n1	engine%1:06:00::	103168471	motor that converts thermal energy to mechanical work	
engineering	abs	n	technology_n1	engineering%1:04:01::	100892915	the practical application of science to commerce or industry	
engineering	der	n	technology_n1	engineering%1:04:01::	100892915	the practical application of science to commerce or industry	
enhance	act	v	enhance_v1	enhance%2:30:00::	200222014	increase; 	This will enhance your enjoyment; heighten the tension
enough	?	r	enough_r1	enough%4:02:00::	400147904	as much as necessary; 	Have I eaten enough?; (`plenty' is nonstandard) I've had plenty, thanks
enter	act	v	enter_v1	enter%2:38:00::	201958650	to come or go into; 	the boat entered an area of shallow marshes
entire	quality	adj	entire_s1	entire%5:00:01:whole:00	300487961	constituting the full quantity or extent; complete; 	an entire town devastated by an earthquake; gave full attention; a total failure
entirely	?	r	entirely_r1	entirely%4:02:00::	400007652	to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'); 	he was wholly convinced; entirely satisfied with the meal; it was completely different from what we expected; was completely at fault; a totally new situation; the directions were all wrong; it was not altogether her fault; an altogether new approach; a whole new idea
entry	loc	n	entry_n1	entry%1:10:01::	106102236	an item inserted in a written record	
environment	obj	n	environment_n1	environment%1:26:00::	113143821	the totality of surrounding conditions; 	he longed for the comfortable environment of his livingroom
environmental	quality	adj	environmental_a1	environmental%3:01:00::	302799509	concerned with the ecological effects of altering the environment; 	environmental pollution
equal	act	adj	equal_a1	equal%3:00:00::	300851849	well matched; having the same quantity, value, or measure as another; 	on equal terms; all men are equal before the law
equals	der						
equator	obj	n	equator_n1	equator%1:15:00::	108044749	an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles; 	the equator is the boundary between the northern and southern hemispheres
equilibrium	state	n	equilibrium_n1	equilibrium%1:22:00::	112685686	a chemical reaction and its reverse proceed at equal rates	
equipment	obj	n	equipment_n1	equipment%1:06:00::	103174243	an instrumentality needed for an undertaking or to perform a service	
eraser	obj	n	eraser_n1	eraser%1:06:00::	103175028	an implement used to erase something	
erosion	act	n	erosion_n1	erosion%1:22:00::	112713540	(geology) the mechanical process of wearing or grinding something down (as by particles washing over it)	
eruption	act	n	eruption_n1	eruption%1:11:00::	106981455	the sudden occurrence of a violent discharge of steam and volcanic material	
escape	act	v	escape_v1	escape%2:38:00::	202015953	run away from confinement; 	The convicted murderer escaped from a high security prison
esophagus	bpart	n	gorge_n3	esophagus%1:08:00::	105217200	the passage between the pharynx and the stomach	
especially	adv	r	especially_r1	especially%4:02:00::	400085225	to a distinctly greater extent or degree than is common; 	he was particularly fussy about spelling; a particularly gruesome attack; under peculiarly tragic circumstances; an especially (or specially) cautious approach to the danger
essential	quality	adj	essential_s1	essential%5:00:00:necessary:00	301531730	absolutely necessary; vitally necessary; 	essential tools and materials; funds essential to the completion of the project; an indispensable worker
established	state	adj	established_a1	established%3:00:00::	301583312	brought about or set up or accepted; especially long established; 	the established social order; distrust the constituted authority; a team established as a member of a major league; enjoyed his prestige as an established writer; an established precedent; the established Church
estimate	act	v	estimate_v1	estimate%2:31:00::	200650033	judge tentatively or form an estimate of (quantities or time); 	I estimate this chicken to weigh three pounds
ethical	?	adj	ethical_a1	ethical%3:01:00::	302612666	of or relating to the philosophical study of ethics; 	ethical codes; ethical theories
evaluate	act	v	evaluate_v1	evaluate%2:31:00::	200658664	place a value on; judge the worth of something; 	I will have the family jewels appraised by a professional
evaluating	der						
evaluation	nom	n	evaluation_n1	evaluation%1:04:00::	100822943	act of ascertaining or fixing the value or worth of	
evaporate	act	v	evaporate_v1	evaporate%2:30:00::	200355628	lose or cause to lose liquid by vaporization leaving a more concentrated residue; 	evaporate milk
evaporated	der	adj	evaporated_s1	evaporated%5:00:00:gaseous:00	302181778	drawn off in the form of vapor; 	evaporated molecules boil off
evaporated	state	adj	evaporated_s1	evaporated%5:00:00:gaseous:00	302181778	drawn off in the form of vapor; 	evaporated molecules boil off
evaporation	nom	n	evaporation_n1	evaporation%1:22:00::	112807580	the process of becoming a vapor	
even	?	r	even_r1	even%4:02:00::	400017157	used as an intensive especially to indicate something unexpected; 	even an idiot knows that; declined even to consider the idea; I don't have even a dollar!
event	abs	n	event_n1	event%1:03:00::	100025950	something that happens at a given place and time	
eventually	adj	r	eventually_r1	eventually%4:02:00::	400048756	within an indefinite time or at an unspecified future time; 	he will understand eventually; he longed for the flowers that were yet to show themselves; sooner or later you will have to face the facts; in time they came to accept the harsh reality
ever	time	r	ever_r1	ever%4:02:04::	400148578	at any time; 	did you ever smoke?; the best con man of all time
every	?						
everyday	time	adj	everyday_s1	everyday%5:00:00:ordinary:00	301624141	found in the ordinary course of events; 	a placid everyday scene; it was a routine day; there's nothing quite like a real...train conductor to add color to a quotidian commute- Anita Diamant
everything	?						
evidence	obj	n	evidence_n1	evidence%1:09:00::	105486741	your basis for belief or disbelief; knowledge on which to base belief; 	the evidence that smoking causes lung cancer is very compelling
evident	quality	adj	evident_s1	evident%5:00:00:obvious:00	301568015	clearly apparent or obvious to the mind or senses; 	the effects of the drought are apparent to anyone who sees the parched fields; evident hostility; manifest disapproval; patent advantages; made his meaning plain; it is plain that he is no reactionary; in plain view
exactly	adv	r	just_r2	exactly%4:02:01::	400160510	indicating exactness or preciseness; 	he was doing precisely (or exactly) what she had told him to do; it was just as he said--the jewel was gone; it has just enough salt
examination	nom	n	examination_n1	examination%1:04:00::	100599932	the act of examining something closely (as for mistakes)	
example	abs	n	example_n1	example%1:09:00::	105483522	an item of information that is representative of a type; 	this patient provides a typical example of the syndrome; there is an example on page 10
exception	abs	n	exception_n1	exception%1:09:00::	105376666	a deliberate act of omission; 	with the exception of the children, everyone was told the news
exception	nom	n	exception_n1	exception%1:09:00::	105376666	a deliberate act of omission; 	with the exception of the children, everyone was told the news
excess	abs	adj	excess_s1	excess%5:00:00:unnecessary:00	301532447	more than is needed, desired, or required; 	trying to lose excess weight; found some extra change lying on the dresser; yet another book on heraldry might be thought redundant; skills made redundant by technological advance; sleeping in the spare room; supernumerary ornamentation; it was supererogatory of her to gloat; delete superfluous (or unnecessary) words; extra ribs as well as other supernumerary internal parts; surplus cheese distributed to the needy
excrete	act	v	eliminate_v5	excrete%2:29:00::	200070835	eliminate from the body; 	Pass a kidney stone
exercise	act	n	exercise_n1	exercise%1:04:00::	100590163	the activity of exerting your muscles in various ways to keep fit; 	the doctor recommended regular exercise; he did some exercising; the physical exertion required by his work kept him fit
exercising	der	n	exercise_n1	exercising%1:04:00::	100590163	the activity of exerting your muscles in various ways to keep fit; 	the doctor recommended regular exercise; he did some exercising; the physical exertion required by his work kept him fit
